City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
jamestown,92,sh,1544332554,100,-15.94,-5.72,69.23,17.38
usak,12,tr,1544333778,89,38.67,29.41,25.31,2.73
swift current,1,ca,1544331600,61,50.29,-107.8,15.8,16.11
miramar,5,mx,1544330760,77,20.64,-103.45,59,1.57
mtimbira,68,tz,1544333921,78,-8.78,36.35,76.88,3.36
barrow,1,us,1544331300,85,39.51,-90.4,19.06,5.82
sitka,0,us,1544333924,72,37.17,-99.65,15.28,2.91
mocuba,32,mz,1544333927,56,-16.84,36.99,88.63,10.96
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
kavaratti,8,in,1544333932,100,10.57,72.64,83.86,6.38
tatarbunary,32,ua,1544333933,90,45.84,29.62,36.16,6.26
port alfred,88,za,1544332788,100,-33.59,26.89,63.29,5.93
inuvik,90,ca,1544331600,77,68.36,-133.71,1.4,3.36
coquimbo,0,cl,1544331600,82,-29.95,-71.34,59,7.38
beringovskiy,76,ru,1544333940,100,63.05,179.32,8.66,19.73
aklavik,90,ca,1544331600,77,68.22,-135.01,1.4,3.36
puerto ayora,36,ec,1544333371,100,-0.74,-90.35,71.84,8.05
cap malheureux,75,mu,1544331600,78,-19.98,57.61,80.6,13.87
ponta do sol,75,pt,1544331600,88,32.67,-17.1,62.6,12.75
chuy,44,uy,1544333908,82,-33.69,-53.46,61.45,14.09
alta floresta,36,br,1544333958,98,-9.87,-56.08,70.54,2.06
saint-philippe,0,re,1544331600,45,-21.36,55.77,85.15,5.82
dikson,92,ru,1544333617,98,73.51,80.55,17.48,29.68
bende,32,ng,1544333968,77,7.83,8.63,74.54,2.39
port alfred,88,za,1544332788,100,-33.59,26.89,63.29,5.93
enshi,92,cn,1544333973,70,30.29,109.48,32.06,3.8
vaini,44,to,1544332450,100,-21.2,-175.2,75.08,18.39
albany,0,au,1544331600,60,-35.02,117.88,68,12.75
ribeira grande,8,pt,1544333628,97,38.52,-28.7,65.23,17.72
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
vaini,44,to,1544332450,100,-21.2,-175.2,75.08,18.39
padang,32,id,1544333991,100,-0.92,100.36,82.24,5.93
salinopolis,92,br,1544333993,100,-0.61,-47.36,80.08,7.43
kapaa,75,us,1544331360,55,22.08,-159.32,73.04,24.16
lorengau,64,pg,1544334000,100,-2.02,147.27,83.95,7.76
coquimbo,0,cl,1544331600,82,-29.95,-71.34,59,7.38
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
batemans bay,44,au,1544334007,81,-35.71,150.18,71.62,3.85
busselton,0,au,1544332242,70,-33.64,115.35,76.84,10.85
shihezi,20,cn,1544334012,80,44.3,86.03,-1.92,4.59
shirokiy,68,ru,1544334015,93,53.87,39.17,18.29,11.07
teberda,0,ru,1544334018,81,43.44,41.74,11.95,0.49
fairbanks,90,us,1544331480,94,64.84,-147.72,14.97,3.91
biak,24,id,1544334022,100,-0.91,122.88,81.29,1.57
avarua,90,ck,1544331600,88,-21.21,-159.78,80.6,13.87
alta floresta,36,br,1544333958,98,-9.87,-56.08,70.54,2.06
bambous virieux,75,mu,1544331600,78,-20.34,57.76,80.6,13.87
hithadhoo,64,mv,1544333451,100,-0.6,73.08,80.89,5.75
leshukonskoye,12,ru,1544334039,75,64.9,45.76,18.43,8.66
mahebourg,75,mu,1544331600,78,-20.41,57.7,80.6,13.87
castro,90,cl,1544331600,100,-42.48,-73.76,53.6,13.87
yellowknife,5,ca,1544328000,92,62.45,-114.38,10.4,8.05
gumdag,32,tm,1544334051,100,39.2,54.59,45.74,2.57
ngunguru,0,nz,1544334054,75,-35.62,174.5,69.64,18.45
barrow,1,us,1544331300,85,39.51,-90.4,19.06,5.82
chuy,44,uy,1544333908,82,-33.69,-53.46,61.45,14.09
hithadhoo,64,mv,1544333451,100,-0.6,73.08,80.89,5.75
bluff,76,nz,1544333613,97,-46.6,168.33,57.85,15.99
hithadhoo,64,mv,1544333451,100,-0.6,73.08,80.89,5.75
erzin,24,ru,1544334074,65,50.26,95.16,-7.32,2.57
cape town,0,za,1544331600,68,-33.93,18.42,64.4,13.87
skoghall,92,se,1544332800,100,59.32,13.47,33.8,5.82
villarrica,0,cl,1544331600,93,-39.28,-72.23,55.4,2.51
kulhudhuffushi,0,mv,1544334083,100,6.62,73.07,83.95,5.14
hobart,20,au,1544331600,59,-42.88,147.33,66.2,12.75
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
ribeira grande,8,pt,1544333628,97,38.52,-28.7,65.23,17.72
kavieng,44,pg,1544333644,100,-2.57,150.8,84.58,5.86
qaanaaq,36,gl,1544334097,96,77.48,-69.36,-5.56,8.43
mayumba,92,ga,1544334102,100,-3.44,10.65,74.63,4.74
haines junction,88,ca,1544334105,75,60.75,-137.51,33.19,9.28
saskylakh,0,ru,1544334108,24,71.97,114.09,-16.59,4.41
tiksi,24,ru,1544333696,0,71.64,128.87,-38.37,3.36
bitung,40,id,1544331600,74,1.44,125.19,84.2,8.05
coihaique,0,cl,1544331600,59,-45.58,-72.07,57.79,6.93
albany,0,au,1544331600,60,-35.02,117.88,68,12.75
teya,80,ru,1544334125,67,60.37,92.63,-9.57,3.91
sao filipe,0,cv,1544333788,100,14.9,-24.5,74.63,11.9
albany,0,au,1544331600,60,-35.02,117.88,68,12.75
atuona,100,pf,1544332951,100,-9.8,-139.03,80.39,16.33
vaini,44,to,1544332450,100,-21.2,-175.2,75.08,18.39
qaanaaq,36,gl,1544334097,96,77.48,-69.36,-5.56,8.43
victoria,75,sc,1544331600,79,-4.62,55.45,84.2,8.05
qaanaaq,36,gl,1544334097,96,77.48,-69.36,-5.56,8.43
benjamin constant,40,br,1544331600,100,-4.38,-70.03,77,2.24
ushuaia,75,ar,1544328000,61,-54.81,-68.31,48.2,5.82
rikitea,56,pf,1544332331,100,-23.12,-134.97,76.93,11.45
port-de-bouc,0,fr,1544331600,100,43.4,4.98,46.44,6.93
hermanus,0,za,1544333419,83,-34.42,19.24,59.65,3.58
